Cta;Vl_lancamento
1014368;8,99
1010865;8,99
978091;8,99
1015083;8,99
975130;8,99
773879;8,99
978982;8,99
983363;8,99
973709;8,99
976166;8,99
1021152;8,99
999959;8,99
1002947;8,98
1033638;8,92
1015766;8,86
985780;8,84
1009952;8,82
1027242;8,80
1120667;8,78
1120521;8,78
1112869;8,78
1099012;8,78
1162518;8,72
1076188;8,71
1112840;8,60
973616;8,48
992234;8,46
1162525;8,42
1032506;8,39
1031635;8,39
1033436;8,39
1034456;8,39
975171;8,38
1107023;8,32
1169972;8,31
1010717;8,28
1120582;8,23
1068452;8,23
1099017;8,20
1235064;8,02
975364;7,99
1015154;7,99
979104;7,99
1021785;7,98
991848;7,86
980532;7,84
1034722;7,79
1106203;7,62
1034821;7,34
1032190;7,34
725582;7,27
1112784;7,25
1112802;7,25
634697;7,20
1068010;7,12
1112798;7,12
1023250;7,00
1023689;7,00
1023692;7,00
999632;6,99
1022727;6,99
1019699;6,99
985730;6,99
1120400;6,99
988827;6,99
843388;6,99
1021053;6,99
1063263;6,86
1099009;6,86
1068006;6,85
1192393;6,82
1235782;6,76
1174710;6,74
1052117;6,72
1123941;6,63
1066826;6,27
1200229;6,19
1028519;6,09
1162443;6,07
1022931;6,00
976207;5,99
1194962;5,97
1176209;5,91
1111472;5,86
997365;5,84
1112796;5,78
1234886;5,65
1004819;5,54
1004115;5,49
1029573;5,33
1111507;5,19
1116793;5,19
1078604;5,13
1081629;5,13
1062419;5,13
1079039;5,13
1081164;5,13
1080366;5,13
1076043;5,13
1081221;5,13
1079056;5,13
1081192;5,13
1022797;4,99
975279;4,99
1104193;4,98
1099668;4,98
1111420;4,98
1078514;4,65
1106739;4,65
1115612;4,65
1099097;4,65
1062332;4,65
1112924;4,47
1120397;4,47
1066824;4,47
1120472;4,47
1120401;4,47
1120468;4,47
1100873;4,43
1052188;4,40
1023780;4,00
1039586;4,00
1120395;3,81
1116785;3,67
975448;3,61
1010496;3,56
992404;3,49
1081216;3,27
1004429;3,19
1054426;3,10
1081138;2,94
1118280;2,65
1048768;2,64
1112914;2,64
1051820;2,64
1081099;2,28
1093676;1,67
1081173;1,41
1081152;1,41
1172687;1,25
1079599;1,19
1063085;1,14
